;# STN;YYYYMMDD;   HH;   DD;   FH;   FF;   FX;    T; T10N;   TD;   SQ;    Q;   DR;   RH;    P;   VV;    N;    U;   WW;   IX;    M;    R;    S;    O;    Y
0;260;20220102;1;200;50;50;80;113;     ;101;0;0;10;13;10165;65;8;91;   61;7;0;1;0;0;0
1;260;20220102;2;190;40;40;90;116;     ;103;0;0;4;1;10154;65;8;91;   61;7;0;1;0;0;0
2;260;20220102;3;210;50;60;110;127;     ;104;0;0;0;-1;10145;70;8;85;   51;7;0;1;0;0;0
3;260;20220102;4;200;60;60;100;127;     ;105;0;0;5;1;10138;68;8;86;   81;7;0;1;0;0;0
4;260;20220102;5;200;60;60;120;123;     ;108;0;0;10;9;10132;65;8;90;   61;7;0;1;0;0;0
5;260;20220102;6;180;60;60;110;119;  108;99;0;0;4;1;10118;70;8;87;   23;7;0;1;0;0;0
6;260;20220102;7;180;60;50;100;120;     ;96;0;0;0;-1;10106;70;8;84;   81;7;0;1;0;0;0
7;260;20220102;8;210;70;70;120;122;     ;99;0;1;6;11;10106;66;8;85;   81;7;0;1;0;0;0
8;260;20220102;9;210;70;70;120;120;     ;94;0;5;2;1;10104;70;8;84;   23;7;0;1;0;0;0
9;260;20220102;10;220;70;70;120;123;     ;90;5;34;0;0;10103;75;7;80;     ;5;0;0;0;0;0
10;260;20220102;11;240;80;70;150;121;     ;94;0;22;0;-1;10104;61;8;83;   57;7;0;1;0;0;0
11;260;20220102;12;240;60;60;130;126;  110;97;0;18;0;-1;10105;70;8;82;   23;7;0;1;0;0;0
12;260;20220102;13;250;70;60;140;127;     ;89;0;32;0;0;10104;73;8;77;     ;5;0;0;0;0;0
13;260;20220102;14;240;70;70;160;122;     ;84;5;46;0;0;10111;72;8;77;     ;5;0;0;0;0;0
14;260;20220102;15;230;50;50;110;114;     ;86;0;9;0;0;10110;70;8;83;     ;5;0;0;0;0;0
15;260;20220102;16;240;60;60;110;112;     ;85;0;3;0;0;10107;66;8;83;     ;5;0;0;0;0;0
16;260;20220102;17;240;50;50;90;113;     ;88;0;0;0;0;10104;66;8;84;     ;5;0;0;0;0;0
17;260;20220102;18;220;50;60;100;113;  106;86;0;0;0;-1;10095;59;8;83;   57;7;0;1;0;0;0
18;260;20220102;19;220;50;40;90;108;     ;90;0;0;4;6;10085;60;8;88;   81;7;0;1;0;0;0
19;260;20220102;20;240;50;60;120;107;     ;95;0;0;7;89;10075;65;8;92;   23;7;0;1;0;0;0
20;260;20220102;21;250;70;90;170;113;     ;80;0;0;0;0;10080;74;8;80;    2;7;0;0;0;0;0
21;260;20220102;22;250;80;70;170;106;     ;76;0;0;0;0;10092;70;7;81;     ;5;0;0;0;0;0
22;260;20220102;23;250;80;60;150;105;     ;75;0;0;0;0;10099;69;7;81;     ;5;0;0;0;0;0
23;260;20220102;24;240;70;70;140;105;   98;75;0;0;0;0;10103;66;8;82;    3;7;0;0;0;0;0
24;260;20220103;1;240;60;60;120;102;     ;72;0;0;0;0;10104;64;7;81;     ;5;0;0;0;0;0
